Date,Close,High,Low,Open,Volume,MA_5,MA_10,MA_20,Vol_MA_5,Vol_MA_20
2025-03-26,965.5917358398438,980.3712011843312,965.5917358398438,980.3712011843312,21735917,965.394677734375,955.9923828125,973.6064270019531,26391144.6,38656109.05
2025-03-27,943.9151000976562,949.8268856932574,943.9151000976562,946.8709928954568,34563256,960.0740600585938,955.7437744140625,968.8236663818359,27560604.6,38545849.4
2025-03-28,938.00341796875,940.9593110926012,932.0916317210476,932.0916317210476,33101234,956.1328735351562,955.4924255371094,964.7260467529297,26337868.2,37436731.3
2025-03-31,896.6209106445312,910.415078500601,896.6209106445312,906.4738876845812,51064611,943.915185546875,950.0240295410156,959.5400299072265,33326489.2,36708878.7
2025-04-01,930.1210327148438,932.091628123138,911.4003763360492,915.3415671526376,32197752,934.850439453125,947.3637268066407,957.0097473144531,34532554.0,35090303.2
2025-04-02,928.150390625,938.003367170913,924.2092000066348,935.0474742071392,24849656,927.3621704101563,946.3784240722656,953.4002044677734,35155301.8,34233070.0
2025-04-07,835.532470703125,835.532470703125,835.532470703125,835.532470703125,23820773,905.68564453125,932.8798522949219,945.8953125,33006805.2,33164757.8
2025-04-08,804.0028686523438,830.6059047474581,785.2822136224485,785.2822136224485,116648736,878.8855346679687,917.5092041015625,936.8139404296875,49716305.6,36956080.6
2025-04-09,773.4586181640625,813.85581987709,768.5321301502786,797.1057606302248,107582838,854.253076171875,899.084130859375,926.5486114501953,61019951.0,39992728.2
2025-04-10,850.3118896484375,850.3118896484375,850.3118896484375,850.3118896484375,19416428,838.2912475585938,886.5708435058593,921.4499237060547,58463686.2,38453337.95
2025-04-11,875.9296264648438,875.9296264648438,823.7088500839251,835.5324220946991,76103586,827.8470947265625,877.6046325683594,916.7985076904297,68714472.2,40549272.9
2025-04-14,852.282470703125,889.723781554823,852.282470703125,881.8414003228866,66326054,831.1970947265625,868.4413696289063,912.0925720214843,77215528.4,42013790.95
2025-04-15,864.1060791015625,866.0766744929002,852.2825067535366,861.1501860145561,30562095,843.2177368164063,861.0516357421875,908.2720306396484,59998200.2,41825208.3
2025-04-16,842.4295043945312,856.2236717179505,839.4736113966557,854.2530763860334,42128082,857.0119140625,855.6324951171875,902.8282623291016,46907249.0,42357059.35
2025-04-17,834.547119140625,843.4147980925325,829.6206308340097,836.5177144632711,33684502,853.8589599609375,846.0751037597656,896.7194152832031,49760863.8,42962518.1
2025-04-18,837.5029907226562,845.3853718118106,837.5029907226562,840.4588836310892,20101219,846.1736328125,837.0103637695313,891.6943939208984,38560390.4,42205327.25
2025-04-21,822.7236328125,834.5472059786676,819.7677395209581,831.5913126871258,18415705,840.261865234375,835.7294799804688,884.3046661376953,28978320.6,41690314.7
