K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
03.倒T字線,05.2~4%,1.<5%,46.64,44.92,48.36,47.68,48.36,581
05.實體紅K(大陽線),01.>10%,2.5~10%,56.63,51.08,55.3,53.14,53.87,558
10.長下影線綠K,04.4~6%,2.5~10%,31.44,35.47,38.21,36.2,36.93,547
07.紅K,08.-2~0%,2.5~10%,48.24,48.61,51.12,52.7,50.28,539
12.長上影線綠K,05.2~4%,2.5~10%,44.17,47.23,51.05,50.29,47.02,523
08.長上影線紅K,11.-8~-6%,2.5~10%,59.96,56.48,56.87,56.67,55.51,517
02.T字線,02.8~10%,1.<5%,69.72,71.75,77.85,73.78,73.32,493
05.實體紅K(大陽線),01.>10%,1.<5%,45.82,47.86,51.12,49.08,52.05,491
05.實體紅K(大陽線),11.-8~-6%,1.<5%,55.8,57.03,57.23,57.84,56.42,491
06.長下影線紅K,02.8~10%,1.<5%,61.64,62.83,68.04,64.05,65.05,464
05.實體紅K(大陽線),06.0~2%,3.10~15%,42.83,47.39,48.91,46.96,45.22,460
12.長上影線綠K,12.-10~-8%,2.5~10%,63.76,65.94,64.55,67.83,69.58,458
11.綠K,06.0~2%,2.5~10%,47.46,48.12,48.34,45.92,46.8,453
04.十字線,04.4~6%,1.<5%,41.11,44.67,48.22,48.44,47.33,450
09.實體綠K(大陰線),03.6~8%,1.<5%,34.77,37.56,38.58,35.28,36.55,394
10.長下影線綠K,09.-4~-2%,3.10~15%,48.51,49.59,52.03,54.47,53.93,370
10.長下影線綠K,08.-2~0%,3.10~15%,44.84,44.57,48.91,47.01,52.45,369
09.實體綠K(大陰線),13.<-10%,2.5~10%,41.76,44.23,48.35,47.53,49.45,365
12.長上影線綠K,09.-4~-2%,3.10~15%,49.86,48.71,45.56,44.13,46.7,352
05.實體紅K(大陽線),10.-6~-4%,2.5~10%,48.25,46.2,45.91,48.97,51.47,342
09.實體綠K(大陰線),08.-2~0%,3.10~15%,38.78,39.23,40.84,38.91,41.48,312
09.實體綠K(大陰線),13.<-10%,1.<5%,59.62,59.29,58.01,61.54,60.26,312
02.T字線,07.0%,2.5~10%,27.89,35.03,36.39,36.05,35.37,294
04.十字線,04.4~6%,2.5~10%,43.0,40.61,44.03,45.73,44.03,293
12.長上影線綠K,10.-6~-4%,3.10~15%,52.92,53.61,51.38,50.0,47.59,291
10.長下影線綠K,03.6~8%,1.<5%,48.4,50.53,53.74,54.45,53.02,281
06.長下影線紅K,10.-6~-4%,1.<5%,51.25,51.25,52.69,53.41,54.12,279
12.長上影線綠K,12.-10~-8%,1.<5%,49.64,57.3,60.95,63.87,65.33,274
11.綠K,10.-6~-4%,3.10~15%,48.7,52.04,52.24,54.1,50.37,270
03.倒T字線,10.-6~-4%,2.5~10%,57.85,58.24,59.0,57.47,59.39,261
07.紅K,07.0%,2.5~10%,41.11,46.25,44.44,44.05,47.22,253
03.倒T字線,12.-10~-8%,1.<5%,39.29,49.21,57.54,61.9,67.06,252
08.長上影線紅K,08.-2~0%,3.10~15%,44.22,42.63,43.2,48.8,46.18,251
11.綠K,07.0%,2.5~10%,48.8,52.4,49.2,48.8,48.0,250
11.綠K,11.-8~-6%,2.5~10%,54.69,51.84,49.59,57.79,54.1,245
10.長下影線綠K,06.0~2%,3.10~15%,40.74,40.33,40.74,41.56,40.33,243
03.倒T字線,09.-4~-2%,2.5~10%,57.32,53.97,51.46,51.05,49.37,239
09.實體綠K(大陰線),01.>10%,1.<5%,34.04,40.43,34.89,35.32,37.02,235
12.長上影線綠K,11.-8~-6%,3.10~15%,43.78,46.35,46.35,51.93,50.64,233
08.長上影線紅K,06.0~2%,3.10~15%,42.42,46.32,44.78,42.11,40.79,231
08.長上影線紅K,09.-4~-2%,3.10~15%,48.47,48.03,48.91,50.22,47.6,229
12.長上影線綠K,04.4~6%,1.<5%,48.47,51.97,48.91,47.6,47.6,229
06.長下影線紅K,05.2~4%,3.10~15%,36.44,42.22,44.44,40.0,37.33,225
02.T字線,03.6~8%,2.5~10%,54.91,52.68,48.66,45.98,43.75,224
07.紅K,09.-4~-2%,2.5~10%,48.65,51.35,55.66,55.66,50.68,222
09.實體綠K(大陰線),12.-10~-8%,4.>15%,41.82,40.0,44.55,47.27,48.18,222
11.綠K,09.-4~-2%,3.10~15%,44.19,47.91,48.37,51.63,49.3,215
09.實體綠K(大陰線),13.<-10%,3.10~15%,42.44,38.54,40.49,43.9,43.41,205
06.長下影線紅K,04.4~6%,3.10~15%,37.44,33.99,37.93,36.45,34.16,203
06.長下影線紅K,06.0~2%,3.10~15%,41.21,44.22,45.23,44.22,43.22,199
05.實體紅K(大陽線),08.-2~0%,3.10~15%,47.4,46.88,48.96,52.08,47.92,192
12.長上影線綠K,08.-2~0%,3.10~15%,40.32,39.78,41.4,41.4,44.09,189
04.十字線,11.-8~-6%,2.5~10%,51.61,52.15,50.54,52.15,51.08,186
05.實體紅K(大陽線),12.-10~-8%,1.<5%,50.81,56.22,50.81,56.22,55.68,185
02.T字線,10.-6~-4%,1.<5%,43.72,48.63,46.99,50.27,45.36,183
05.實體紅K(大陽線),01.>10%,3.10~15%,50.0,45.56,47.78,44.69,46.07,180
09.實體綠K(大陰線),02.8~10%,1.<5%,34.83,39.89,37.08,37.08,38.76,178
09.實體綠K(大陰線),04.4~6%,2.5~10%,45.45,42.61,42.61,38.64,42.05,176
06.長下影線紅K,02.8~10%,2.5~10%,55.11,53.71,53.71,55.17,54.02,176
03.倒T字線,08.-2~0%,2.5~10%,52.1,54.49,55.09,52.69,58.79,167
02.T字線,06.0~2%,2.5~10%,27.54,29.34,37.13,36.53,41.92,167
07.紅K,03.6~8%,2.5~10%,42.42,49.09,55.76,59.39,59.39,165
08.長上影線紅K,03.6~8%,1.<5%,40.37,54.66,55.28,57.76,52.8,161
02.T字線,05.2~4%,2.5~10%,35.85,39.62,40.25,42.14,44.65,159
08.長上影線紅K,10.-6~-4%,3.10~15%,63.46,60.26,60.26,60.9,56.41,156
03.倒T字線,07.0%,2.5~10%,45.16,49.03,56.13,58.71,57.42,155
10.長下影線綠K,05.2~4%,3.10~15%,30.46,27.15,23.84,23.84,27.81,151
10.長下影線綠K,03.6~8%,2.5~10%,33.33,34.67,37.33,38.67,41.33,150
02.T字線,04.4~6%,2.5~10%,40.14,42.86,41.5,41.5,41.5,147
08.長上影線紅K,05.2~4%,3.10~15%,35.37,34.69,40.14,37.41,42.86,147
08.長上影線紅K,12.-10~-8%,2.5~10%,62.59,59.18,63.27,64.63,63.27,147
06.長下影線紅K,01.>10%,1.<5%,50.0,51.03,52.41,51.72,54.86,146
02.T字線,08.-2~0%,2.5~10%,36.81,36.11,38.89,36.11,31.25,144
04.十字線,11.-8~-6%,1.<5%,58.87,56.03,54.61,55.32,52.48,141
10.長下影線綠K,11.-8~-6%,1.<5%,56.93,57.66,60.58,59.85,59.85,137
10.長下影線綠K,04.4~6%,3.10~15%,33.58,27.61,26.87,23.88,19.4,134
05.實體紅K(大陽線),07.0%,3.10~15%,35.61,43.94,40.15,44.7,44.7,132
