K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
05.實體紅K(大陽線),04.4~6%,3.10~15%,35.38,37.5,40.11,40.75,40.04,1416
07.紅K,04.4~6%,1.<5%,39.63,43.34,45.12,44.19,44.01,1403
07.紅K,08.-2~0%,1.<5%,38.25,42.12,43.48,44.87,45.38,1396
05.實體紅K(大陽線),09.-4~-2%,2.5~10%,41.94,47.78,48.96,50.11,50.63,1352
02.T字線,02.8~10%,1.<5%,58.52,54.35,55.98,53.37,50.64,1321
10.長下影線綠K,05.2~4%,2.5~10%,35.03,37.91,41.24,41.2,40.44,1319
11.綠K,08.-2~0%,2.5~10%,40.5,44.47,45.31,42.94,44.89,1311
01.一字線,11.-8~-6%,1.<5%,33.28,33.05,37.2,39.97,40.97,1301
05.實體紅K(大陽線),07.0%,2.5~10%,33.49,35.47,38.48,39.83,40.93,1263
08.長上影線紅K,08.-2~0%,2.5~10%,44.0,44.99,46.03,47.38,48.45,1259
04.十字線,05.2~4%,2.5~10%,45.16,43.39,42.98,44.11,45.0,1240
11.綠K,07.0%,1.<5%,44.73,45.56,48.09,47.84,47.88,1205
06.長下影線紅K,02.8~10%,1.<5%,54.79,54.3,54.89,52.81,51.64,1202
05.實體紅K(大陽線),10.-6~-4%,1.<5%,45.02,48.51,50.81,51.23,53.19,1175
03.倒T字線,09.-4~-2%,1.<5%,49.53,52.3,51.54,51.11,50.17,1173
02.T字線,05.2~4%,1.<5%,40.44,43.86,43.17,45.14,43.77,1172
10.長下影線綠K,04.4~6%,2.5~10%,33.19,35.79,37.46,39.12,37.47,1167
09.實體綠K(大陰線),12.-10~-8%,1.<5%,49.07,49.95,53.85,54.77,57.34,1080
12.長上影線綠K,11.-8~-6%,1.<5%,38.21,38.49,44.73,47.44,51.54,1073
06.長下影線紅K,09.-4~-2%,1.<5%,39.74,39.68,42.67,42.95,46.43,1067
10.長下影線綠K,10.-6~-4%,2.5~10%,40.68,43.79,44.44,46.91,49.24,1058
06.長下影線紅K,02.8~10%,2.5~10%,52.15,49.19,49.43,47.17,45.87,1048
12.長上影線綠K,11.-8~-6%,2.5~10%,42.26,47.81,49.46,52.48,53.46,1027
08.長上影線紅K,10.-6~-4%,1.<5%,52.21,50.93,50.74,53.88,54.28,1017
12.長上影線綠K,10.-6~-4%,2.5~10%,50.75,50.05,52.42,50.91,51.71,995
04.十字線,04.4~6%,2.5~10%,43.26,42.66,44.67,44.06,41.75,994
12.長上影線綠K,10.-6~-4%,1.<5%,53.93,51.84,50.79,49.42,52.1,953
10.長下影線綠K,10.-6~-4%,1.<5%,41.82,40.96,44.49,45.13,45.56,935
08.長上影線紅K,10.-6~-4%,2.5~10%,47.65,51.12,52.35,56.17,58.86,892
04.十字線,07.0%,2.5~10%,37.3,38.09,40.49,41.84,42.07,891
04.十字線,08.-2~0%,2.5~10%,40.57,41.48,42.84,46.59,45.91,880
02.T字線,03.6~8%,2.5~10%,55.92,51.07,50.59,47.87,46.33,844
04.十字線,09.-4~-2%,2.5~10%,42.86,49.17,49.52,50.71,49.4,840
10.長下影線綠K,07.0%,2.5~10%,34.33,37.78,40.76,42.07,40.69,840
07.紅K,03.6~8%,2.5~10%,40.33,43.18,43.23,42.5,41.9,838
09.實體綠K(大陰線),08.-2~0%,3.10~15%,35.63,39.48,40.1,40.47,40.96,814
11.綠K,10.-6~-4%,2.5~10%,49.75,48.4,49.26,50.62,52.4,812
08.長上影線紅K,07.0%,2.5~10%,41.13,44.14,45.75,45.87,45.99,812
12.長上影線綠K,09.-4~-2%,3.10~15%,47.6,47.6,45.01,45.89,46.14,794
05.實體紅K(大陽線),01.>10%,3.10~15%,50.0,44.82,43.42,44.18,44.61,792
01.一字線,05.2~4%,1.<5%,41.53,46.44,45.54,45.15,42.3,773
12.長上影線綠K,08.-2~0%,3.10~15%,43.92,43.79,42.48,43.27,45.23,767
01.一字線,09.-4~-2%,1.<5%,44.2,49.41,49.15,49.54,47.85,767
08.長上影線紅K,09.-4~-2%,2.5~10%,49.47,50.53,54.64,53.65,55.64,754
10.長下影線綠K,03.6~8%,1.<5%,33.74,39.38,40.99,40.73,40.24,744
04.十字線,04.4~6%,1.<5%,44.44,42.08,44.03,45.56,45.28,720
08.長上影線紅K,11.-8~-6%,1.<5%,45.77,43.15,48.1,50.87,55.25,686
05.實體紅K(大陽線),05.2~4%,3.10~15%,37.63,45.97,45.24,46.41,45.16,683
09.實體綠K(大陰線),12.-10~-8%,4.>15%,42.44,43.24,44.85,45.74,47.42,681
06.長下影線紅K,07.0%,2.5~10%,29.07,31.63,34.64,37.35,36.75,664
07.紅K,07.0%,1.<5%,38.28,43.64,44.55,45.3,48.18,661
08.長上影線紅K,05.2~4%,3.10~15%,41.9,39.14,37.12,38.04,36.2,656
09.實體綠K(大陰線),04.4~6%,2.5~10%,33.03,34.1,34.71,35.22,35.33,654
07.紅K,06.0~2%,2.5~10%,39.28,40.22,41.16,42.01,41.6,640
11.綠K,06.0~2%,2.5~10%,38.97,42.51,41.06,40.16,40.78,622
