N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
綠K -> 十字 -> 綠K,03.20~25%,43,41.86,48.84,53.49,48.84,46.51
十字 -> 十字 -> 紅K,04.15~20%,215,41.86,46.51,42.79,42.33,45.12
紅K -> 十字 -> 紅K,11.-15~-10%,225,41.78,61.33,63.56,68.89,72.0
綠K -> 十字 -> 紅K,07.0~5%,24999,41.76,44.82,46.11,46.9,47.37
十字 -> 十字 -> 綠K,03.20~25%,170,41.76,36.47,40.59,40.0,42.94
十字 -> 綠K -> 十字,07.0~5%,3279,41.75,46.81,47.42,48.64,49.28
十字 -> 十字 -> 綠K,10.-10~-5%,559,41.68,45.97,45.26,46.51,51.7
紅K -> 十字 -> 綠K,05.10~15%,1254,41.63,46.09,45.77,43.22,44.02
綠K -> 十字 -> 紅K,03.20~25%,65,41.54,41.54,46.15,44.62,38.46
十字 -> 紅K -> 十字,10.-10~-5%,273,41.39,44.32,50.92,49.45,49.08
十字 -> 綠K -> 紅K,08.0%,3344,41.39,45.01,45.6,47.64,48.83
紅K -> 紅K -> 十字,09.-5~0%,3130,41.31,43.16,45.91,46.71,47.89
紅K -> 紅K -> 綠K,00.未知,160,41.25,48.12,41.88,40.62,49.38
綠K -> 紅K -> 綠K,06.5~10%,16982,41.22,43.39,43.71,44.01,44.39
紅K -> 十字 -> 紅K,15.<-30%,51,41.18,52.94,54.9,68.63,70.59
紅K -> 綠K -> 綠K,02.25~30%,187,41.18,44.39,44.92,41.18,43.85
紅K -> 紅K -> 綠K,15.<-30%,226,41.15,46.9,46.46,49.12,46.02
紅K -> 紅K -> 綠K,01.>30%,623,41.09,44.62,44.3,43.66,47.35
十字 -> 十字 -> 紅K,09.-5~0%,1584,40.97,42.42,44.0,45.27,46.78
綠K -> 十字 -> 紅K,08.0%,3276,40.93,44.63,46.67,47.31,48.84
綠K -> 十字 -> 十字,08.0%,1555,40.9,43.02,45.66,46.69,48.81
綠K -> 十字 -> 紅K,12.-20~-15%,367,40.87,49.32,55.04,58.86,59.67
十字 -> 十字 -> 紅K,07.0~5%,6984,40.84,43.07,45.13,45.85,46.69
綠K -> 紅K -> 十字,08.0%,3548,40.64,44.45,47.58,48.42,48.84
綠K -> 綠K -> 十字,15.<-30%,79,40.51,36.71,45.57,46.84,56.96
紅K -> 十字 -> 綠K,03.20~25%,294,40.48,46.94,45.58,47.96,47.28
十字 -> 紅K -> 十字,09.-5~0%,1515,40.46,43.83,46.07,46.27,45.81
紅K -> 十字 -> 綠K,02.25~30%,89,40.45,43.82,43.82,35.96,39.33
十字 -> 紅K -> 十字,07.0~5%,5847,40.45,43.1,45.24,45.75,47.68
綠K -> 十字 -> 綠K,13.-25~-20%,132,40.15,38.64,52.27,53.79,59.09
紅K -> 綠K -> 十字,12.-20~-15%,147,40.14,48.3,48.98,52.38,53.74
紅K -> 紅K -> 綠K,02.25~30%,446,40.13,43.27,47.76,46.86,46.41
十字 -> 十字 -> 綠K,12.-20~-15%,311,39.87,39.55,64.95,71.06,73.63
紅K -> 紅K -> 十字,08.0%,1098,39.8,43.9,46.72,47.63,50.36
綠K -> 十字 -> 綠K,14.-30~-25%,78,39.74,38.46,56.41,46.15,55.13
十字 -> 綠K -> 十字,08.0%,1470,39.73,44.08,46.39,48.16,46.87
紅K -> 十字 -> 十字,09.-5~0%,1677,39.65,42.46,43.53,44.54,46.09
十字 -> 十字 -> 十字,10.-10~-5%,933,39.44,39.98,42.98,43.62,47.59
綠K -> 綠K -> 十字,14.-30~-25%,66,39.39,27.27,37.88,42.42,39.39
十字 -> 十字 -> 十字,13.-25~-20%,97,39.18,30.93,51.55,52.58,49.48
十字 -> 十字 -> 綠K,01.>30%,64,39.06,40.62,45.31,39.06,37.5
綠K -> 十字 -> 綠K,06.5~10%,675,38.96,44.3,46.52,45.19,43.11
紅K -> 紅K -> 綠K,14.-30~-25%,90,38.89,41.11,48.89,48.89,52.22
紅K -> 十字 -> 十字,08.0%,880,38.75,43.07,45.68,46.14,47.73
綠K -> 十字 -> 綠K,05.10~15%,251,38.65,43.43,42.63,45.02,42.63
綠K -> 紅K -> 綠K,04.15~20%,870,38.51,41.61,42.76,42.41,43.56
十字 -> 紅K -> 紅K,12.-20~-15%,65,38.46,43.08,47.69,50.77,46.15
綠K -> 紅K -> 綠K,05.10~15%,2941,38.25,42.71,42.77,43.28,44.03
十字 -> 十字 -> 十字,11.-15~-10%,652,37.88,40.34,53.37,55.52,61.81
紅K -> 十字 -> 紅K,08.0%,935,37.65,42.46,42.67,42.99,42.67
綠K -> 綠K -> 十字,13.-25~-20%,149,37.58,43.62,51.01,57.05,55.7
紅K -> 紅K -> 紅K,08.0%,2317,37.51,40.18,40.79,43.33,44.11
紅K -> 十字 -> 綠K,01.>30%,128,37.5,42.97,46.09,41.41,44.53
十字 -> 紅K -> 綠K,01.>30%,105,37.14,45.71,41.9,44.76,48.57
十字 -> 紅K -> 十字,08.0%,827,37.12,41.96,46.31,47.04,47.88
十字 -> 十字 -> 十字,15.<-30%,46,36.96,30.43,30.43,28.26,30.43
紅K -> 綠K -> 十字,10.-10~-5%,2197,36.32,38.14,39.14,41.15,45.24
十字 -> 紅K -> 紅K,08.0%,971,36.25,40.16,40.68,41.92,45.11
綠K -> 十字 -> 綠K,12.-20~-15%,863,36.04,46.35,59.68,62.34,66.28
十字 -> 十字 -> 十字,08.0%,1365,36.04,38.02,41.47,44.69,46.37
綠K -> 紅K -> 十字,12.-20~-15%,110,35.45,54.55,52.73,51.82,46.36
十字 -> 綠K -> 紅K,13.-25~-20%,48,35.42,50.0,52.08,52.08,56.25
綠K -> 十字 -> 綠K,04.15~20%,97,35.05,43.3,44.33,44.33,44.33
十字 -> 十字 -> 紅K,08.0%,743,34.86,41.99,42.4,44.68,46.84
十字 -> 十字 -> 紅K,11.-15~-10%,574,34.67,47.91,57.49,59.06,59.41
十字 -> 十字 -> 紅K,12.-20~-15%,265,33.96,42.26,51.7,49.43,53.21
綠K -> 十字 -> 十字,10.-10~-5%,744,33.06,36.42,38.17,42.07,45.56
紅K -> 綠K -> 十字,11.-15~-10%,760,33.03,36.05,41.71,45.79,51.18
綠K -> 十字 -> 十字,14.-30~-25%,62,30.65,30.65,40.32,33.87,33.87
紅K -> 十字 -> 十字,11.-15~-10%,211,29.38,26.54,34.6,41.23,49.29
綠K -> 十字 -> 十字,13.-25~-20%,109,29.36,30.28,40.37,56.88,64.22
綠K -> 十字 -> 十字,11.-15~-10%,501,27.35,26.75,28.94,41.12,48.9
十字 -> 十字 -> 十字,12.-20~-15%,719,26.98,27.26,36.02,38.25,40.47
紅K -> 十字 -> 綠K,12.-20~-15%,133,25.56,40.6,61.65,69.17,73.68
紅K -> 十字 -> 十字,10.-10~-5%,403,23.57,24.57,32.01,32.51,37.97
綠K -> 十字 -> 十字,12.-20~-15%,668,23.35,23.8,33.53,39.67,46.86
紅K -> 十字 -> 紅K,12.-20~-15%,86,22.09,50.0,74.42,75.58,77.91
紅K -> 紅K -> 十字,10.-10~-5%,638,20.06,22.26,28.68,30.72,34.17
紅K -> 十字 -> 十字,12.-20~-15%,274,6.93,9.85,44.16,62.04,82.48
