K線型態,漲跌幅等級,振幅等級,出現次數,T+1勝率(%),T+2勝率(%),T+3勝率(%),T+4勝率(%),T+5勝率(%)
3.倒T字線,05.2~4%,1.<5%,707,45.83,45.4,47.03,46.6,45.33
10.長下影線綠K,03.6~8%,2.5~10%,700,32.57,34.0,36.05,37.2,38.68
4.十字線,03.6~8%,2.5~10%,691,49.35,46.52,45.36,44.64,42.82
12.長上影線綠K,04.4~6%,1.<5%,657,42.31,43.14,45.73,45.43,46.26
7.一般紅K(紡錘線),09.-4~-2%,1.<5%,633,42.02,45.18,48.03,50.08,50.87
5.實體紅K(大陽線),10.-6~-4%,2.5~10%,607,41.19,46.95,49.59,50.25,52.31
12.長上影線綠K,10.-6~-4%,3.10~15%,601,53.18,52.51,49.75,52.61,52.1
6.長下影線紅K,05.2~4%,3.10~15%,578,33.74,35.24,37.15,37.04,35.83
9.實體綠K(大陰線),03.6~8%,1.<5%,572,33.04,37.41,37.59,36.19,36.19
6.長下影線紅K,04.4~6%,3.10~15%,561,35.0,35.18,35.42,36.14,35.78
5.實體紅K(大陽線),01.>10%,4.>15%,557,40.57,35.37,34.11,35.01,33.81
10.長下影線綠K,06.0~2%,3.10~15%,555,36.94,38.74,40.18,42.16,42.06
11.一般綠K(紡錘線),10.-6~-4%,3.10~15%,544,53.04,54.33,54.43,57.56,55.54
9.實體綠K(大陰線),13.<-10%,1.<5%,541,65.99,69.5,71.35,72.83,72.64
9.實體綠K(大陰線),11.-8~-6%,4.>15%,539,55.2,51.02,51.4,48.42,50.09
2.T字線,02.8~10%,2.5~10%,521,47.22,42.5,43.08,42.69,43.35
9.實體綠K(大陰線),13.<-10%,3.10~15%,516,52.72,46.69,49.03,53.31,53.7
7.一般紅K(紡錘線),04.4~6%,3.10~15%,510,41.26,42.24,40.67,39.64,39.25
11.一般綠K(紡錘線),09.-4~-2%,3.10~15%,508,46.06,48.03,47.24,48.72,50.3
6.長下影線紅K,10.-6~-4%,1.<5%,497,49.7,47.48,50.5,53.32,52.11
8.長上影線紅K,03.6~8%,1.<5%,482,42.62,47.61,47.61,49.27,50.73
1.一字線,01.>10%,1.<5%,469,65.25,56.72,57.05,54.39,52.46
10.長下影線綠K,05.2~4%,3.10~15%,466,33.05,36.7,36.91,38.63,40.13
11.一般綠K(紡錘線),05.2~4%,2.5~10%,456,41.23,44.62,42.2,39.43,38.77
6.長下影線紅K,03.6~8%,3.10~15%,455,48.68,43.83,39.07,40.49,37.78
1.一字線,13.<-10%,1.<5%,450,29.56,31.33,34.08,38.31,41.43
12.長上影線綠K,04.4~6%,2.5~10%,444,40.77,40.82,46.49,45.8,46.26
12.長上影線綠K,11.-8~-6%,3.10~15%,434,42.63,43.09,55.07,60.28,59.35
7.一般紅K(紡錘線),08.-2~0%,2.5~10%,420,44.05,45.71,49.76,51.31,49.64
5.實體紅K(大陽線),02.8~10%,4.>15%,410,42.05,39.12,42.54,39.61,40.64
4.十字線,11.-8~-6%,2.5~10%,403,47.15,53.1,50.87,49.88,50.87
8.長上影線紅K,12.-10~-8%,1.<5%,397,43.43,43.54,61.77,62.28,65.32
11.一般綠K(紡錘線),11.-8~-6%,2.5~10%,397,51.77,52.02,51.14,54.94,56.2
6.長下影線紅K,06.0~2%,3.10~15%,395,44.05,44.05,46.19,45.18,48.09
2.T字線,07.0%,2.5~10%,382,24.87,29.06,32.46,32.72,32.2
9.實體綠K(大陰線),10.-6~-4%,4.>15%,367,49.86,46.72,45.63,46.72,48.91
11.一般綠K(紡錘線),07.0%,2.5~10%,364,42.31,47.8,43.96,44.23,43.41
8.長上影線紅K,08.-2~0%,3.10~15%,360,47.78,47.22,45.13,47.63,48.04
4.十字線,01.>10%,3.10~15%,356,46.35,42.7,42.42,40.45,41.29
8.長上影線紅K,04.4~6%,3.10~15%,355,45.17,40.34,40.34,38.64,39.77
10.長下影線綠K,04.4~6%,3.10~15%,346,29.77,31.59,34.49,33.62,31.1
9.實體綠K(大陰線),13.<-10%,4.>15%,333,59.16,52.25,58.26,61.56,61.26
9.實體綠K(大陰線),06.0~2%,3.10~15%,332,36.06,39.09,37.58,35.56,36.78
8.長上影線紅K,09.-4~-2%,3.10~15%,324,44.27,47.99,52.17,52.17,52.48
10.長下影線綠K,11.-8~-6%,2.5~10%,316,49.68,52.06,50.79,49.84,54.6
10.長下影線綠K,10.-6~-4%,3.10~15%,315,56.37,52.87,58.15,61.02,57.51
12.長上影線綠K,06.0~2%,3.10~15%,309,39.94,44.48,43.18,43.18,41.88
5.實體紅K(大陽線),12.-10~-8%,1.<5%,298,45.64,54.03,56.38,57.05,56.04
2.T字線,04.4~6%,2.5~10%,295,42.71,46.1,45.42,44.07,46.44
3.倒T字線,10.-6~-4%,2.5~10%,288,64.58,58.68,64.58,60.76,62.15
10.長下影線綠K,02.8~10%,1.<5%,285,30.28,36.04,39.93,35.82,40.93
8.長上影線紅K,12.-10~-8%,2.5~10%,280,55.0,53.21,61.07,61.43,68.1
10.長下影線綠K,11.-8~-6%,1.<5%,280,47.14,45.71,48.57,50.0,48.21
4.十字線,02.8~10%,2.5~10%,274,45.99,47.08,46.35,45.99,45.62
8.長上影線紅K,10.-6~-4%,3.10~15%,267,51.31,58.43,60.3,60.67,59.55
4.十字線,01.>10%,4.>15%,262,43.13,39.69,40.84,38.55,38.55
5.實體紅K(大陽線),08.-2~0%,3.10~15%,260,43.85,45.38,47.31,48.46,49.03
3.倒T字線,06.0~2%,2.5~10%,242,44.21,44.21,44.63,45.04,45.04
3.倒T字線,07.0%,2.5~10%,241,46.89,52.7,56.85,56.02,56.43
4.十字線,03.6~8%,1.<5%,239,39.75,40.59,42.68,41.42,43.1
2.T字線,01.>10%,1.<5%,238,60.08,58.4,52.52,50.0,49.58
7.一般紅K(紡錘線),09.-4~-2%,2.5~10%,235,42.13,46.81,45.96,44.26,48.09
9.實體綠K(大陰線),07.0%,3.10~15%,233,40.34,44.21,46.35,48.07,47.64
2.T字線,10.-6~-4%,1.<5%,231,39.83,49.78,46.32,48.05,48.92
2.T字線,08.-2~0%,2.5~10%,229,23.58,28.38,31.0,30.57,29.26
10.長下影線綠K,07.0%,3.10~15%,228,32.16,33.92,41.85,42.29,36.56
5.實體紅K(大陽線),07.0%,3.10~15%,227,39.21,43.61,46.7,48.9,47.58
6.長下影線紅K,10.-6~-4%,2.5~10%,226,42.92,48.23,50.0,46.9,47.79
3.倒T字線,12.-10~-8%,2.5~10%,222,53.39,47.51,55.2,60.63,58.37
3.倒T字線,09.-4~-2%,2.5~10%,221,56.56,55.2,56.56,52.94,54.3
2.T字線,06.0~2%,2.5~10%,214,30.37,33.18,37.85,34.58,39.25
4.十字線,11.-8~-6%,1.<5%,211,52.61,45.97,50.95,55.71,53.81
11.一般綠K(紡錘線),08.-2~0%,3.10~15%,205,34.15,34.63,40.49,38.05,36.59
10.長下影線綠K,02.8~10%,2.5~10%,204,31.68,33.66,33.33,31.84,34.83
7.一般紅K(紡錘線),05.2~4%,3.10~15%,203,35.96,33.0,33.99,36.45,39.41
7.一般紅K(紡錘線),03.6~8%,1.<5%,203,41.38,46.04,45.05,49.25,51.74
7.一般紅K(紡錘線),03.6~8%,3.10~15%,198,39.9,38.38,39.9,38.89,38.89
11.一般綠K(紡錘線),04.4~6%,1.<5%,198,39.39,46.46,47.47,45.96,44.95
7.一般紅K(紡錘線),07.0%,2.5~10%,194,43.3,43.81,47.42,48.45,48.45
6.長下影線紅K,02.8~10%,3.10~15%,193,49.48,45.31,49.21,47.62,46.56
6.長下影線紅K,01.>10%,1.<5%,189,52.38,50.53,54.01,48.66,50.8
9.實體綠K(大陰線),02.8~10%,1.<5%,186,30.65,30.11,36.02,36.56,37.1
3.倒T字線,08.-2~0%,2.5~10%,181,53.04,54.7,53.04,52.49,50.0
2.T字線,01.>10%,3.10~15%,179,37.43,34.08,32.4,33.52,34.08
11.一般綠K(紡錘線),11.-8~-6%,1.<5%,174,50.0,50.57,50.57,54.02,57.47
2.T字線,05.2~4%,2.5~10%,169,33.73,39.05,44.38,42.6,43.79
2.T字線,03.6~8%,3.10~15%,167,52.69,48.5,46.71,48.5,46.71
9.實體綠K(大陰線),03.6~8%,2.5~10%,164,42.07,45.73,37.2,34.15,38.65
4.十字線,02.8~10%,3.10~15%,162,44.44,46.3,45.68,42.59,41.98
7.一般紅K(紡錘線),10.-6~-4%,1.<5%,161,47.2,47.83,47.2,51.55,50.93
6.長下影線紅K,11.-8~-6%,1.<5%,159,47.17,47.8,45.91,49.06,53.8
12.長上影線綠K,03.6~8%,1.<5%,159,32.28,36.71,37.97,39.49,42.04
8.長上影線紅K,07.0%,3.10~15%,152,44.74,47.37,50.0,44.74,42.76
11.一般綠K(紡錘線),11.-8~-6%,3.10~15%,151,57.62,56.29,48.67,54.67,53.33
12.長上影線綠K,12.-10~-8%,3.10~15%,151,61.59,56.95,57.62,61.59,64.24
5.實體紅K(大陽線),11.-8~-6%,2.5~10%,147,36.05,46.26,49.66,52.38,53.06
6.長下影線紅K,01.>10%,2.5~10%,147,49.66,46.94,48.98,46.94,49.32
2.T字線,01.>10%,2.5~10%,143,39.16,35.66,39.16,36.36,39.86
12.長上影線綠K,13.<-10%,1.<5%,143,55.24,58.04,63.64,65.03,69.01
8.長上影線紅K,11.-8~-6%,3.10~15%,140,56.43,59.29,59.29,65.0,66.43
