N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
十字 -> 綠K -> 紅K,07.0~5%,58270,40.1,42.7,43.86,44.6,45.22
紅K -> 十字 -> 紅K,09.-5~0%,16772,40.07,43.81,44.45,44.59,44.8
紅K -> 綠K -> 紅K,08.0%,24336,40.02,43.25,44.68,45.3,45.89
紅K -> 十字 -> 十字,14.-30~-25%,10,40.0,40.0,40.0,30.0,30.0
紅K -> 十字 -> 紅K,14.-30~-25%,5,40.0,60.0,60.0,60.0,60.0
綠K -> 十字 -> 紅K,07.0~5%,61254,39.99,43.1,44.14,44.75,45.41
十字 -> 十字 -> 綠K,05.10~15%,1416,39.97,43.57,44.49,42.16,41.67
綠K -> 紅K -> 綠K,06.5~10%,23970,39.88,42.03,41.9,42.17,42.62
綠K -> 綠K -> 紅K,08.0%,34542,39.85,42.95,44.7,45.78,46.62
十字 -> 十字 -> 紅K,12.-20~-15%,573,39.79,47.29,53.58,52.01,54.8
紅K -> 十字 -> 紅K,07.0~5%,69502,39.79,42.45,43.81,44.34,45.02
綠K -> 綠K -> 十字,08.0%,9540,39.73,43.45,44.72,45.56,46.17
紅K -> 紅K -> 十字,07.0~5%,65072,39.71,42.96,44.41,45.15,45.75
十字 -> 十字 -> 紅K,06.5~10%,3070,39.71,38.76,39.02,39.67,39.97
綠K -> 綠K -> 紅K,14.-30~-25%,63,39.68,36.51,42.86,41.27,49.21
紅K -> 十字 -> 紅K,02.25~30%,187,39.57,45.99,48.13,47.06,49.2
綠K -> 綠K -> 綠K,00.未知,91,39.56,37.36,36.26,32.97,37.36
綠K -> 綠K -> 紅K,01.>30%,91,39.56,39.56,43.96,41.76,52.75
十字 -> 紅K -> 綠K,01.>30%,38,39.47,44.74,39.47,42.11,39.47
紅K -> 紅K -> 綠K,03.20~25%,1850,39.41,43.19,42.7,41.3,41.24
紅K -> 綠K -> 十字,12.-20~-15%,264,39.39,42.42,45.08,46.59,51.52
十字 -> 十字 -> 十字,07.0~5%,55104,39.36,41.93,43.55,44.57,45.47
十字 -> 紅K -> 紅K,09.-5~0%,18042,39.28,42.64,43.95,44.3,44.86
十字 -> 綠K -> 綠K,01.>30%,23,39.13,47.83,43.48,43.48,47.83
綠K -> 十字 -> 綠K,13.-25~-20%,167,38.92,38.92,49.7,52.69,59.28
十字 -> 綠K -> 紅K,01.>30%,36,38.89,47.22,52.78,55.56,50.0
綠K -> 紅K -> 紅K,08.0%,24433,38.89,41.81,43.49,44.61,45.16
綠K -> 紅K -> 綠K,13.-25~-20%,291,38.83,37.46,43.64,49.48,50.52
紅K -> 綠K -> 綠K,04.15~20%,390,38.72,46.67,43.08,41.28,43.59
紅K -> 十字 -> 十字,13.-25~-20%,44,38.64,34.09,52.27,47.73,65.91
紅K -> 綠K -> 十字,10.-10~-5%,4354,38.52,40.81,42.03,42.63,45.93
綠K -> 紅K -> 紅K,14.-30~-25%,13,38.46,53.85,53.85,30.77,53.85
十字 -> 十字 -> 紅K,09.-5~0%,12158,38.38,41.7,43.35,43.79,44.38
紅K -> 十字 -> 紅K,11.-15~-10%,483,38.3,59.63,63.77,69.36,71.22
綠K -> 十字 -> 十字,07.0~5%,13751,38.23,41.15,42.58,43.05,44.55
紅K -> 綠K -> 紅K,01.>30%,110,38.18,32.73,40.91,37.27,33.64
十字 -> 綠K -> 十字,07.0~5%,12733,38.11,42.32,44.26,44.98,45.57
綠K -> 綠K -> 綠K,01.>30%,63,38.1,33.33,30.16,31.75,33.33
紅K -> 綠K -> 綠K,01.>30%,92,38.04,42.39,44.57,42.39,39.13
綠K -> 紅K -> 十字,08.0%,10711,37.91,41.81,44.18,45.62,46.19
紅K -> 十字 -> 綠K,04.15~20%,1406,37.77,43.03,42.96,41.25,40.4
十字 -> 十字 -> 紅K,11.-15~-10%,1176,37.67,48.98,55.78,58.25,59.35
紅K -> 十字 -> 十字,07.0~5%,25070,37.61,41.64,43.16,44.21,44.85
紅K -> 十字 -> 十字,06.5~10%,2247,37.56,40.59,42.01,39.92,39.25
綠K -> 綠K -> 十字,01.>30%,24,37.5,25.0,25.0,33.33,33.33
十字 -> 十字 -> 綠K,03.20~25%,518,37.45,34.56,36.1,34.94,36.29
綠K -> 紅K -> 十字,12.-20~-15%,198,37.37,52.53,53.03,53.54,51.01
十字 -> 紅K -> 十字,07.0~5%,23727,37.28,40.72,42.64,43.51,44.64
紅K -> 十字 -> 十字,10.-10~-5%,1703,37.23,38.29,42.4,43.45,45.04
綠K -> 綠K -> 十字,04.15~20%,35,37.14,45.71,40.0,42.86,40.0
紅K -> 紅K -> 綠K,00.未知,167,37.13,28.14,26.95,31.74,31.74
紅K -> 十字 -> 綠K,05.10~15%,2350,37.02,40.38,40.77,40.04,40.89
十字 -> 十字 -> 紅K,14.-30~-25%,19,36.84,52.63,47.37,52.63,47.37
綠K -> 十字 -> 紅K,08.0%,9969,36.66,41.43,43.51,44.39,45.46
十字 -> 十字 -> 綠K,06.5~10%,1816,36.56,38.49,41.13,40.14,40.2
紅K -> 十字 -> 紅K,15.<-30%,11,36.36,27.27,54.55,36.36,36.36
紅K -> 十字 -> 綠K,13.-25~-20%,22,36.36,27.27,45.45,54.55,68.18
十字 -> 綠K -> 紅K,08.0%,10097,36.35,40.65,42.4,44.13,45.0
綠K -> 十字 -> 十字,08.0%,6442,36.34,40.36,41.91,44.07,45.0
十字 -> 綠K -> 十字,08.0%,5949,36.33,42.12,43.67,44.73,45.32
十字 -> 十字 -> 紅K,07.0~5%,29080,36.23,39.84,41.45,42.57,43.31
十字 -> 十字 -> 十字,13.-25~-20%,343,36.15,33.24,44.61,46.65,46.94
紅K -> 紅K -> 十字,08.0%,6227,35.86,39.86,42.4,43.47,45.27
紅K -> 綠K -> 十字,01.>30%,28,35.71,35.71,35.71,32.14,32.14
紅K -> 綠K -> 十字,13.-25~-20%,42,35.71,30.95,45.24,45.24,50.0
十字 -> 綠K -> 十字,15.<-30%,14,35.71,71.43,57.14,64.29,64.29
紅K -> 綠K -> 十字,11.-15~-10%,1300,35.54,37.08,43.69,47.0,49.85
綠K -> 紅K -> 綠K,05.10~15%,3288,35.28,39.17,39.36,39.39,39.72
綠K -> 十字 -> 綠K,12.-20~-15%,1414,35.22,45.69,58.56,61.95,65.91
十字 -> 十字 -> 綠K,02.25~30%,148,35.14,35.14,37.84,38.51,36.49
紅K -> 綠K -> 綠K,03.20~25%,77,35.06,33.77,35.06,36.36,35.06
十字 -> 十字 -> 綠K,01.>30%,86,34.88,37.21,37.21,34.88,31.4
十字 -> 十字 -> 綠K,04.15~20%,1084,34.5,39.11,41.14,40.96,40.31
十字 -> 紅K -> 十字,08.0%,5169,34.24,38.36,40.41,41.42,42.21
綠K -> 綠K -> 十字,15.<-30%,38,34.21,26.32,47.37,42.11,55.26
紅K -> 十字 -> 十字,08.0%,5476,34.13,38.81,41.53,42.09,43.13
綠K -> 十字 -> 綠K,06.5~10%,1102,34.12,39.93,40.93,41.2,41.11
紅K -> 紅K -> 紅K,12.-20~-15%,44,34.09,43.18,40.91,40.91,47.73
綠K -> 十字 -> 綠K,14.-30~-25%,91,34.07,36.26,46.15,38.46,49.45
紅K -> 十字 -> 綠K,03.20~25%,551,33.76,40.29,40.11,39.02,39.2
紅K -> 十字 -> 紅K,08.0%,5536,33.56,37.1,39.56,40.37,41.02
紅K -> 紅K -> 紅K,08.0%,12078,33.52,36.86,38.42,39.89,41.18
綠K -> 紅K -> 綠K,01.>30%,75,33.33,41.33,37.33,37.33,42.67
十字 -> 紅K -> 十字,14.-30~-25%,12,33.33,33.33,41.67,41.67,41.67
紅K -> 紅K -> 綠K,02.25~30%,429,33.33,37.53,39.16,39.16,36.36
紅K -> 十字 -> 綠K,14.-30~-25%,3,33.33,66.67,66.67,66.67,66.67
紅K -> 十字 -> 十字,11.-15~-10%,572,32.87,31.99,34.79,37.94,45.45
綠K -> 紅K -> 十字,13.-25~-20%,34,32.35,44.12,32.35,50.0,70.59
十字 -> 紅K -> 紅K,08.0%,5570,32.15,35.6,36.86,38.99,40.34
綠K -> 十字 -> 十字,14.-30~-25%,131,32.06,26.72,34.35,32.06,34.35
綠K -> 十字 -> 綠K,04.15~20%,85,31.76,41.18,36.47,40.0,38.82
綠K -> 十字 -> 十字,11.-15~-10%,1033,31.75,33.88,35.04,42.21,46.76
紅K -> 紅K -> 十字,10.-10~-5%,1939,31.72,32.59,38.32,39.71,40.85
綠K -> 十字 -> 綠K,05.10~15%,317,31.55,37.85,36.59,38.8,38.49
十字 -> 紅K -> 綠K,02.25~30%,51,31.37,29.41,27.45,37.25,33.33
紅K -> 綠K -> 紅K,13.-25~-20%,48,31.25,29.17,27.08,29.17,37.5
綠K -> 紅K -> 綠K,04.15~20%,463,31.1,36.93,37.58,37.15,36.07
十字 -> 十字 -> 紅K,08.0%,4713,30.77,36.22,38.0,39.68,40.67
紅K -> 十字 -> 綠K,02.25~30%,160,30.63,36.25,36.25,35.0,35.62
紅K -> 綠K -> 十字,14.-30~-25%,10,30.0,30.0,50.0,60.0,60.0
十字 -> 綠K -> 十字,00.未知,10,30.0,20.0,20.0,20.0,20.0
綠K -> 紅K -> 綠K,02.25~30%,20,30.0,35.0,40.0,30.0,35.0
綠K -> 綠K -> 十字,13.-25~-20%,204,29.9,39.22,43.14,50.98,51.96
十字 -> 十字 -> 十字,12.-20~-15%,2510,29.76,29.92,37.53,39.2,41.27
十字 -> 十字 -> 十字,15.<-30%,182,29.67,29.12,29.67,34.07,36.26
紅K -> 十字 -> 十字,00.未知,17,29.41,47.06,35.29,52.94,52.94
綠K -> 綠K -> 綠K,04.15~20%,82,29.27,34.15,39.02,40.24,42.68
紅K -> 紅K -> 綠K,01.>30%,213,29.11,29.58,29.11,26.29,29.58
綠K -> 綠K -> 十字,14.-30~-25%,83,28.92,28.92,33.73,48.19,40.96
十字 -> 十字 -> 紅K,00.未知,21,28.57,33.33,33.33,42.86,47.62
紅K -> 綠K -> 紅K,14.-30~-25%,7,28.57,71.43,42.86,71.43,57.14
十字 -> 十字 -> 十字,08.0%,16910,28.34,33.78,36.82,38.76,40.37
綠K -> 十字 -> 十字,13.-25~-20%,181,28.18,28.73,38.12,50.83,56.91
紅K -> 十字 -> 綠K,01.>30%,77,27.27,32.47,32.47,27.27,36.36
紅K -> 綠K -> 十字,00.未知,33,27.27,15.15,27.27,18.18,15.15
綠K -> 十字 -> 綠K,03.20~25%,15,26.67,20.0,20.0,33.33,26.67
紅K -> 十字 -> 綠K,00.未知,15,26.67,20.0,26.67,33.33,33.33
紅K -> 十字 -> 紅K,00.未知,30,26.67,33.33,30.0,36.67,40.0
綠K -> 十字 -> 綠K,00.未知,16,25.0,25.0,25.0,31.25,43.75
綠K -> 十字 -> 十字,12.-20~-15%,1261,24.66,25.3,35.77,39.65,46.95
十字 -> 綠K -> 十字,01.>30%,22,22.73,50.0,31.82,36.36,36.36
十字 -> 紅K -> 十字,15.<-30%,10,20.0,40.0,40.0,30.0,40.0
紅K -> 十字 -> 綠K,12.-20~-15%,260,19.62,39.23,61.15,67.31,75.77
十字 -> 紅K -> 十字,13.-25~-20%,22,18.18,18.18,27.27,36.36,54.55
紅K -> 紅K -> 十字,14.-30~-25%,6,16.67,33.33,33.33,33.33,33.33
綠K -> 十字 -> 紅K,02.25~30%,12,16.67,16.67,25.0,16.67,33.33
紅K -> 十字 -> 紅K,12.-20~-15%,202,16.34,46.04,71.29,78.71,85.64
紅K -> 十字 -> 十字,12.-20~-15%,571,12.26,16.11,43.78,57.79,75.66
