K線型態,漲跌幅等級,振幅等級,出現次數,T+1勝率(%),T+2勝率(%),T+3勝率(%),T+4勝率(%),T+5勝率(%)
3.倒T字線,小漲(0~3%),低波動(<4%),23974,48.7,50.49,51.1,51.55,51.91
3.倒T字線,小跌(-3~0%),中等波動(4~8%),1215,54.57,53.83,54.57,52.43,52.92
3.倒T字線,小跌(-3~0%),低波動(<4%),39848,49.71,50.31,50.26,50.38,50.42
3.倒T字線,小跌(-3~0%),劇烈波動(>8%),55,60.0,63.64,50.91,52.73,52.73
3.倒T字線,平盤(0%),中等波動(4~8%),827,44.38,50.79,52.12,52.96,52.12
3.倒T字線,平盤(0%),低波動(<4%),42393,47.61,49.84,50.76,50.94,51.43
3.倒T字線,平盤(0%),劇烈波動(>8%),39,41.03,46.15,46.15,51.28,51.28
3.倒T字線,漲停或大漲(>8%),低波動(<4%),54,40.74,33.33,46.3,38.89,46.3
3.倒T字線,跌停或大跌(<-8%),中等波動(4~8%),397,44.58,44.33,52.9,56.93,59.19
3.倒T字線,跌停或大跌(<-8%),低波動(<4%),1055,34.31,34.31,56.4,63.32,69.86
3.倒T字線,跌停或大跌(<-8%),劇烈波動(>8%),258,51.16,53.1,53.49,53.49,55.04
4.十字線,中漲(3~8%),中等波動(4~8%),4643,43.87,43.57,44.5,45.14,44.67
4.十字線,中漲(3~8%),低波動(<4%),3078,42.79,46.23,46.78,47.27,46.75
4.十字線,中漲(3~8%),劇烈波動(>8%),1075,45.4,44.37,43.44,42.79,43.07
4.十字線,中跌(-8~-3%),中等波動(4~8%),4457,46.87,49.16,48.55,49.9,50.06
4.十字線,中跌(-8~-3%),低波動(<4%),3128,49.52,48.69,50.32,50.29,49.78
4.十字線,中跌(-8~-3%),劇烈波動(>8%),1262,44.14,46.12,45.56,44.61,46.43
4.十字線,小漲(0~3%),中等波動(4~8%),13366,42.47,43.59,44.91,45.12,45.12
4.十字線,小漲(0~3%),低波動(<4%),158998,45.05,47.42,48.26,48.91,49.26
4.十字線,小漲(0~3%),劇烈波動(>8%),821,41.05,41.29,42.87,41.05,45.55
4.十字線,小跌(-3~0%),中等波動(4~8%),11008,41.51,43.18,43.93,44.74,44.9
4.十字線,小跌(-3~0%),低波動(<4%),107427,42.68,44.65,45.5,46.22,46.85
4.十字線,小跌(-3~0%),劇烈波動(>8%),741,39.27,43.32,41.43,44.53,43.05
4.十字線,平盤(0%),中等波動(4~8%),7243,40.59,42.15,42.44,43.37,43.39
4.十字線,平盤(0%),低波動(<4%),129741,41.78,44.91,46.24,46.97,47.55
4.十字線,平盤(0%),劇烈波動(>8%),656,36.59,37.8,39.63,40.4,38.41
4.十字線,漲停或大漲(>8%),中等波動(4~8%),182,41.76,43.41,46.7,41.21,42.31
4.十字線,漲停或大漲(>8%),低波動(<4%),154,33.12,37.66,37.01,43.51,39.61
4.十字線,漲停或大漲(>8%),劇烈波動(>8%),1162,46.64,44.41,43.12,42.77,42.25
4.十字線,跌停或大跌(<-8%),中等波動(4~8%),104,54.81,57.69,68.27,62.5,68.27
4.十字線,跌停或大跌(<-8%),低波動(<4%),133,57.14,60.9,68.42,69.17,69.17
4.十字線,跌停或大跌(<-8%),劇烈波動(>8%),529,50.28,52.17,57.28,56.71,59.17
5.實體紅K(大陽線),中漲(3~8%),中等波動(4~8%),278906,43.63,44.16,44.99,45.05,45.17
5.實體紅K(大陽線),中漲(3~8%),低波動(<4%),106483,42.72,45.5,46.47,46.92,47.29
5.實體紅K(大陽線),中漲(3~8%),劇烈波動(>8%),40127,43.25,42.97,42.58,42.31,42.26
5.實體紅K(大陽線),中跌(-8~-3%),中等波動(4~8%),4426,46.97,49.03,50.99,51.74,52.19
5.實體紅K(大陽線),中跌(-8~-3%),低波動(<4%),7836,49.3,50.04,52.09,51.43,51.06
5.實體紅K(大陽線),中跌(-8~-3%),劇烈波動(>8%),459,40.31,42.05,43.36,44.44,45.32
5.實體紅K(大陽線),小漲(0~3%),中等波動(4~8%),75392,39.88,42.02,42.94,43.58,44.04
5.實體紅K(大陽線),小漲(0~3%),低波動(<4%),812648,40.99,43.74,45.13,45.91,46.57
5.實體紅K(大陽線),小漲(0~3%),劇烈波動(>8%),6842,41.51,43.92,45.26,45.5,46.26
5.實體紅K(大陽線),小跌(-3~0%),中等波動(4~8%),23565,41.26,43.99,45.5,45.78,45.86
5.實體紅K(大陽線),小跌(-3~0%),低波動(<4%),115839,39.66,42.8,43.76,44.23,44.91
5.實體紅K(大陽線),小跌(-3~0%),劇烈波動(>8%),2477,41.78,44.81,47.88,48.61,48.65
5.實體紅K(大陽線),平盤(0%),中等波動(4~8%),8257,37.02,39.64,40.87,41.86,42.4
5.實體紅K(大陽線),平盤(0%),低波動(<4%),79034,34.14,38.52,40.25,41.64,42.52
5.實體紅K(大陽線),平盤(0%),劇烈波動(>8%),1300,36.23,40.62,40.69,43.0,42.15
5.實體紅K(大陽線),漲停或大漲(>8%),中等波動(4~8%),26611,51.82,49.98,50.98,49.27,48.75
5.實體紅K(大陽線),漲停或大漲(>8%),低波動(<4%),4757,49.86,47.66,49.51,47.53,47.59
5.實體紅K(大陽線),漲停或大漲(>8%),劇烈波動(>8%),34743,51.39,47.27,47.4,45.97,45.29
5.實體紅K(大陽線),跌停或大跌(<-8%),中等波動(4~8%),174,45.98,53.45,51.15,55.17,52.87
5.實體紅K(大陽線),跌停或大跌(<-8%),低波動(<4%),600,52.0,59.0,59.0,60.0,58.67
5.實體紅K(大陽線),跌停或大跌(<-8%),劇烈波動(>8%),89,46.07,44.94,38.2,41.57,33.71
6.長下影線紅K,中漲(3~8%),中等波動(4~8%),16120,43.66,44.46,45.91,45.16,45.53
6.長下影線紅K,中漲(3~8%),低波動(<4%),13164,47.86,50.33,51.28,50.62,50.36
6.長下影線紅K,中漲(3~8%),劇烈波動(>8%),4518,41.5,41.12,40.99,41.15,40.86
6.長下影線紅K,中跌(-8~-3%),中等波動(4~8%),1427,44.85,47.16,48.0,47.72,48.63
6.長下影線紅K,中跌(-8~-3%),低波動(<4%),1588,47.92,46.1,48.8,50.88,51.2
6.長下影線紅K,中跌(-8~-3%),劇烈波動(>8%),132,37.88,42.42,50.76,48.48,48.48
6.長下影線紅K,小漲(0~3%),中等波動(4~8%),42195,39.57,41.1,42.14,42.46,42.86
6.長下影線紅K,小漲(0~3%),低波動(<4%),294812,40.9,43.38,44.7,45.53,46.09
6.長下影線紅K,小漲(0~3%),劇烈波動(>8%),3651,39.22,41.44,42.4,42.62,43.41
6.長下影線紅K,小跌(-3~0%),中等波動(4~8%),12513,38.54,41.05,42.45,43.22,44.34
6.長下影線紅K,小跌(-3~0%),低波動(<4%),63628,38.38,40.79,41.98,42.88,44.01
6.長下影線紅K,小跌(-3~0%),劇烈波動(>8%),852,44.37,41.08,44.84,47.54,47.18
6.長下影線紅K,平盤(0%),中等波動(4~8%),4829,36.05,38.19,39.76,40.48,40.94
6.長下影線紅K,平盤(0%),低波動(<4%),40444,34.82,38.71,40.46,41.55,42.87
6.長下影線紅K,平盤(0%),劇烈波動(>8%),379,34.56,38.26,41.69,41.95,43.54
6.長下影線紅K,漲停或大漲(>8%),中等波動(4~8%),1941,53.12,51.52,52.81,50.49,49.51
6.長下影線紅K,漲停或大漲(>8%),低波動(<4%),1640,56.83,56.46,59.63,56.77,56.65
6.長下影線紅K,漲停或大漲(>8%),劇烈波動(>8%),718,50.0,46.66,46.1,44.85,46.38
6.長下影線紅K,跌停或大跌(<-8%),中等波動(4~8%),50,38.0,38.0,38.0,40.0,44.0
6.長下影線紅K,跌停或大跌(<-8%),低波動(<4%),91,61.54,61.54,60.44,57.14,59.34
7.一般紅K(紡錘線),中漲(3~8%),中等波動(4~8%),16904,39.57,41.99,43.32,43.1,43.42
7.一般紅K(紡錘線),中漲(3~8%),低波動(<4%),5463,42.78,46.35,47.25,48.09,48.23
7.一般紅K(紡錘線),中漲(3~8%),劇烈波動(>8%),3832,39.54,39.17,40.11,39.85,39.9
7.一般紅K(紡錘線),中跌(-8~-3%),中等波動(4~8%),558,45.7,51.08,51.25,50.72,47.85
7.一般紅K(紡錘線),中跌(-8~-3%),低波動(<4%),493,48.48,47.46,50.71,54.97,53.96
7.一般紅K(紡錘線),中跌(-8~-3%),劇烈波動(>8%),87,49.43,47.13,45.98,45.98,45.98
7.一般紅K(紡錘線),小漲(0~3%),中等波動(4~8%),19255,40.33,41.64,43.11,43.57,44.42
7.一般紅K(紡錘線),小漲(0~3%),低波動(<4%),112031,43.39,45.44,46.77,47.53,48.02
7.一般紅K(紡錘線),小漲(0~3%),劇烈波動(>8%),937,40.13,41.09,43.86,44.72,44.18
7.一般紅K(紡錘線),小跌(-3~0%),中等波動(4~8%),2238,45.08,47.32,47.94,48.93,47.59
7.一般紅K(紡錘線),小跌(-3~0%),低波動(<4%),15684,41.81,43.99,44.82,45.8,45.88
7.一般紅K(紡錘線),小跌(-3~0%),劇烈波動(>8%),191,43.46,40.31,44.5,49.74,48.17
7.一般紅K(紡錘線),平盤(0%),中等波動(4~8%),785,41.27,43.69,45.86,47.39,48.66
7.一般紅K(紡錘線),平盤(0%),低波動(<4%),8198,39.84,43.24,44.51,45.0,46.26
7.一般紅K(紡錘線),平盤(0%),劇烈波動(>8%),108,36.11,37.96,40.74,44.44,43.52
7.一般紅K(紡錘線),漲停或大漲(>8%),中等波動(4~8%),189,39.68,44.97,43.92,41.27,46.56
7.一般紅K(紡錘線),漲停或大漲(>8%),低波動(<4%),94,47.87,52.13,50.0,44.68,43.62
7.一般紅K(紡錘線),漲停或大漲(>8%),劇烈波動(>8%),119,38.66,36.97,37.82,37.82,37.82
7.一般紅K(紡錘線),跌停或大跌(<-8%),低波動(<4%),35,51.43,74.29,71.43,65.71,68.57
7.一般紅K(紡錘線),跌停或大跌(<-8%),劇烈波動(>8%),47,51.06,57.45,57.45,55.32,57.45
8.長上影線紅K,中漲(3~8%),中等波動(4~8%),26842,41.56,43.19,44.21,44.21,44.21
8.長上影線紅K,中漲(3~8%),低波動(<4%),8740,42.68,46.67,48.41,48.35,48.17
8.長上影線紅K,中漲(3~8%),劇烈波動(>8%),5753,43.07,41.54,41.32,41.47,41.04
8.長上影線紅K,中跌(-8~-3%),中等波動(4~8%),9145,53.42,53.81,54.26,54.93,54.87
8.長上影線紅K,中跌(-8~-3%),低波動(<4%),6740,52.54,49.58,50.88,51.75,52.09
8.長上影線紅K,中跌(-8~-3%),劇烈波動(>8%),2033,52.93,55.09,55.68,57.35,58.68
8.長上影線紅K,小漲(0~3%),中等波動(4~8%),97170,43.08,43.66,44.1,44.28,44.57
8.長上影線紅K,小漲(0~3%),低波動(<4%),426222,46.66,48.21,48.8,49.22,49.46
8.長上影線紅K,小漲(0~3%),劇烈波動(>8%),7126,42.89,43.21,43.07,42.58,42.62
8.長上影線紅K,小跌(-3~0%),中等波動(4~8%),16975,48.68,48.65,48.78,48.68,48.47
8.長上影線紅K,小跌(-3~0%),低波動(<4%),109004,48.27,49.18,49.35,49.54,49.55
