K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
02.T字線,04.4~6%,1.<5%,25.08,32.25,35.5,37.13,37.79,307
09.實體綠K(大陰線),12.-10~-8%,1.<5%,44.3,45.64,42.76,50.51,49.32,298
06.長下影線紅K,07.0%,2.5~10%,41.5,42.18,43.54,39.8,41.5,294
11.綠K,10.-6~-4%,2.5~10%,54.39,54.74,52.65,51.59,51.94,285
04.十字線,09.-4~-2%,2.5~10%,44.37,47.54,49.65,45.42,47.54,284
10.長下影線綠K,04.4~6%,1.<5%,40.57,45.2,48.4,51.07,46.79,281
03.倒T字線,05.2~4%,1.<5%,43.89,42.75,43.13,41.6,42.37,262
10.長下影線綠K,10.-6~-4%,1.<5%,51.92,50.38,50.77,50.77,47.31,260
12.長上影線綠K,07.0%,2.5~10%,42.58,40.62,39.06,41.02,41.57,256
06.長下影線紅K,04.4~6%,2.5~10%,40.25,38.17,39.83,43.57,40.66,241
07.紅K,09.-4~-2%,1.<5%,39.29,40.18,42.41,44.2,39.73,224
03.倒T字線,11.-8~-6%,2.5~10%,46.08,49.02,49.02,50.0,48.04,204
05.實體紅K(大陽線),01.>10%,1.<5%,42.65,43.63,48.53,45.1,48.04,204
05.實體紅K(大陽線),11.-8~-6%,1.<5%,53.92,54.9,55.39,58.33,57.35,204
08.長上影線紅K,04.4~6%,1.<5%,42.0,44.72,41.92,47.72,43.15,200
09.實體綠K(大陰線),03.6~8%,1.<5%,38.95,40.53,35.26,32.63,35.79,190
09.實體綠K(大陰線),09.-4~-2%,3.10~15%,47.09,46.03,47.62,51.85,50.26,189
05.實體紅K(大陽線),05.2~4%,3.10~15%,36.51,37.57,37.04,40.74,34.39,189
10.長下影線綠K,04.4~6%,2.5~10%,28.57,31.75,35.98,34.92,33.86,189
04.十字線,10.-6~-4%,1.<5%,48.4,50.0,51.6,46.81,47.34,188
10.長下影線綠K,10.-6~-4%,2.5~10%,53.11,56.5,52.3,46.55,48.85,177
