K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
01.一字線,11.-8~-6%,1.<5%,33.45,33.49,38.09,40.56,41.71,2347
12.長上影線綠K,11.-8~-6%,1.<5%,36.72,38.23,44.88,47.69,50.8,2315
02.T字線,05.2~4%,1.<5%,39.98,43.11,43.89,46.13,45.0,2301
12.長上影線綠K,10.-6~-4%,1.<5%,51.99,49.07,48.72,48.54,50.33,2266
10.長下影線綠K,04.4~6%,1.<5%,35.55,39.94,42.33,44.92,43.9,2256
10.長下影線綠K,05.2~4%,2.5~10%,37.57,40.08,41.73,41.95,41.83,2244
12.長上影線綠K,11.-8~-6%,2.5~10%,44.82,49.44,50.87,52.53,54.28,2229
05.實體紅K(大陽線),10.-6~-4%,1.<5%,48.17,49.88,53.14,52.83,53.11,2153
09.實體綠K(大陰線),04.4~6%,1.<5%,34.87,39.01,40.12,41.82,41.72,2079
10.長下影線綠K,07.0%,2.5~10%,36.22,39.5,42.09,41.75,42.12,2045
08.長上影線紅K,10.-6~-4%,1.<5%,52.8,50.42,51.86,55.12,54.92,2021
04.十字線,05.2~4%,2.5~10%,43.51,42.9,42.95,43.76,45.33,1973
04.十字線,08.-2~0%,2.5~10%,38.77,41.18,42.63,43.83,44.24,1955
10.長下影線綠K,10.-6~-4%,2.5~10%,43.02,46.49,47.09,48.28,50.48,1900
08.長上影線紅K,09.-4~-2%,2.5~10%,50.72,52.68,54.2,54.33,54.76,1883
11.綠K,10.-6~-4%,2.5~10%,49.46,48.44,50.16,51.02,52.72,1859
08.長上影線紅K,10.-6~-4%,2.5~10%,53.15,55.15,57.2,58.07,59.69,1856
04.十字線,07.0%,2.5~10%,40.04,41.45,42.28,43.68,44.01,1854
08.長上影線紅K,07.0%,2.5~10%,43.34,45.14,45.93,46.2,47.07,1833
10.長下影線綠K,10.-6~-4%,1.<5%,43.9,45.22,46.74,46.74,47.85,1706
01.一字線,09.-4~-2%,1.<5%,44.55,49.35,49.02,48.9,47.78,1688
07.紅K,06.0~2%,2.5~10%,40.88,42.08,43.42,43.02,44.03,1630
10.長下影線綠K,04.4~6%,2.5~10%,33.66,35.65,37.89,39.4,37.65,1626
04.十字線,09.-4~-2%,2.5~10%,43.32,47.88,48.52,49.32,49.14,1625
02.T字線,02.8~10%,1.<5%,59.88,55.56,57.71,54.86,52.05,1612
